timestep,time,qpid,cell,qpoint,material,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,updstrain_00,updstrain_01,updstrain_02,updstrain_11,updstrain_12,updstrain_22,stress_00,stress_01,stress_02,stress_11,stress_12,stress_22
1,5e-07,0,0,0,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,1,0,1,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,2,0,2,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,3,0,3,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,4,0,4,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,5,0,5,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,6,0,6,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,7,0,7,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1e-06,0,0,0,sic,-0.0001876988128360275,-6.890426947854896e-06,9.588150175162321e-05,-0.0001712980336398646,7.405046649769035e-05,0.0004503587550776664,0,0,0,0,0,0,-146448856.9005973,-8515305.868747482,34081009.06238353,-115278002.2335766,35703275.99574112,70890296.10506101
2,1e-06,1,0,1,sic,-0.0001876988128360275,8.67144232425823e-06,-9.641950819402248e-05,-0.0001712987731426379,7.496296205246201e-05,0.0004480422185914202,0,0,0,0,0,0,-147061086.6993957,-5511034.447371857,-15956818.01244041,-115889641.3096869,36067286.55240517,69675874.62148039
2,1e-06,2,0,2,sic,-0.0001565750742918013,-6.890796699241546e-06,8.085020825327709e-05,-0.0001712980336398646,-0.0001014476326800919,0.0003937913240650334,0,0,0,0,0,0,-128797058.2882095,-8548768.511005426,30170030.16461096,-113670232.4904994,-32774697.69624589,57693900.65684365
2,1e-06,3,0,3,sic,-0.0001565750742918013,8.671072572871587e-06,-7.956393855825013e-05,-0.0001712987731426378,-0.0001005358947600012,0.0003914746839731944,0,0,0,0,0,0,-129409821.2950006,-5465573.039145162,-11571760.6168194,-114283071.0533516,-32420021.50271045,56479932.6890939
2,1e-06,4,0,4,sic,-0.0007005015060244159,-2.571542345523621e-05,9.433714409412568e-05,-0.0006392929647806172,3.633884582260171e-05,0.0004503587550776664,0,0,0,0,0,0,-855102424.8867157,-12217634.36860991,33785928.19739669,-720510029.8000715,21037271.66790835,-369625033.3626979
2,1e-06,5,0,5,sic,-0.0007005015060244159,3.236226332903487e-05,-9.796386585152005e-05,-0.0006392957246425396,3.725127230697821e-05,0.0004480422185914201,0,0,0,0,0,0,-855728399.9522744,-852364.9014561744,-16468058.17864919,-721135239.1421374,21400865.45587146,-370857156.5499688
2,1e-06,6,0,6,sic,-0.0005843461324558739,-2.571680338619731e-05,7.930578152538443e-05,-0.0006392929647806172,-0.0001391592533551806,0.0003937913240650334,0,0,0,0,0,0,-747189551.5516392,-12274544.22927948,29849907.37577482,-672366965.4860401,-47680519.60674814,-336955854.9166854
2,1e-06,7,0,7,sic,-0.0005843461324558739,3.236088339807376e-05,-8.110836528614277e-05,-0.0006392957246425393,-0.000138247584505485,0.0003914746839731944,0,0,0,0,0,0,-747814559.6686112,-799630.6325731156,-12052455.33383676,-672992580.6492244,-47327738.13945744,-338185782.6658002
1,5e-07,0,0,0,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,1,0,1,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,2,0,2,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,3,0,3,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,4,0,4,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,5,0,5,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,6,0,6,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5e-07,7,0,7,sic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1e-06,0,0,0,sic,-0.0003105062543913016,-5.062550175514574e-06,0.0001588317522849157,-0.0003078031460011231,0.0001453927535741068,0.001007238495040591,0,0,0,0,0,0,-315160606.6356778,-9347905.008470882,75538111.29135486,-230400762.3319971,92613587.33783343,326903452.7543045
2,1e-06,1,0,1,sic,-0.0003105062543913016,6.70936522749073e-06,-0.000159287821364438,-0.0003078235095235822,0.0001462520323776453,0.001005123634629634,0,0,0,0,0,0,-316334909.0171855,-4383120.638911404,-57529319.84147092,-231578123.9733347,93303026.09555136,324570807.8398773
2,1e-06,2,0,2,sic,-0.0002869624235852911,-5.072731936744093e-06,0.0001476232855337194,-0.0003078031460011231,-0.0001699574340276217,0.0009606586384668139,0,0,0,0,0,0,-285099944.3094203,-9737997.902429052,68689983.91462967,-228192823.0967709,-99284335.21943489,301604681.2033238
2,1e-06,3,0,3,sic,-0.000286962423585291,6.699183466261211e-06,-0.0001463751848780744,-0.0003078235095235822,-0.0001691190180408255,0.000958593303868044,0,0,0,0,0,0,-286264292.2153661,-4014702.243194966,-49765380.20641734,-229363146.2896046,-98602776.035704,299300416.6740295
2,1e-06,4,0,4,sic,-0.001158825117456245,-1.889369447088715e-05,0.0001574218453442774,-0.001148736979605732,0.0001143395158582553,0.001007238495040591,0,0,0,0,0,0,-2250503861.093407,-15878386.70599648,75588970.4882946,-1917747907.576709,66462786.2657584,-884630408.8119181
2,1e-06,5,0,5,sic,-0.001158825117456245,2.503969191553134e-05,-0.0001606977283050762,-0.001148812977306171,0.0001152318118699188,0.001005123634629634,0,0,0,0,0,0,-2251769251.801912,4019928.521816861,-59141875.00309368,-1919031590.219531,67172150.58148231,-887074149.2461964
2,1e-06,6,0,6,sic,-0.001070958344683408,-1.893169332110629e-05,0.0001462463958012062,-0.001148736979605732,-0.0002010106717434732,0.0009606586384668138,0,0,0,0,0,0,-2058271755.214023,-16237031.33203713,68633045.42213777,-1828795410.223497,-127607460.5751678,-826698535.761741
2,1e-06,7,0,7,sic,-0.001070958344683408,2.500169306531223e-05,-0.0001477520746105875,-0.001148812977306171,-0.0002001392385485521,0.000958593303868044,0,0,0,0,0,0,-2059521155.678928,4379092.931936394,-51240377.00103053,-1830068527.68042,-126908091.2535439,-829106735.8034023
